text;created_date;rubrics
"Слив информации на пассивки:

• Булл (Блокировка боли)
• Джесси (Массовый шок)
• Поко (Звукотерапия)
• Дэррил (Перезарядка на ходу)
• Карл (Разгром)
• Биби (Липкая жвачка и Полная готовность)
• Мортис (Свернувшаяся змея и Неуловимый)
• Леон (Тайное лекарство)
• Ворон (Стервятник)
• Джин (Рука помощи)

Включай уведомления чтобы не пропускать много полезной информации! ?";25.07.2019 12:42;['VK-1603736028819866', 'VK-11879320040', 'VK-63192684938']
"?? Конкурс на НОВЫЙ СКИН ??

Условия: 

- Like ?
- Репост ??
- Подписаться на уведомления ??

? Итоги 4 июня в 17:00 по МСК";31.05.2019 17:18;['VK-1603736028819866', 'VK-95883495386', 'VK-55347043459']
"Интересно узнать ваше мнение, очень долгий период в группу ничего не выкладывалось, так как времени не было и считаю что тема потеряла свою актуальность. 
Что скажите по этому поводу, может есть какие-то предложения???";16.05.2019 5:59;['VK-1603736028819866', 'VK-64144010029', 'VK-41686355398']
"моя первая попытка построить что-то боле менее нормальное, оцените от 1/10 пожалуйста.

P. S извиняюсь за место фото)";26.12.2019 9:27;['VK-1603736028819866', 'VK-10925451700', 'VK-26499386090']
Новый боевой таз. Был в наличии только смоляной кузов пикап. Отдельно докупал детали. Салон кастом. Чтож, на этот раз колеса в арках, есть расширение так что оцениваем;24.12.2019 15:05;['VK-1603736028819866', 'VK-62365061197', 'VK-91292631967']
"Всем дратути)
Народ,как думаете,стоит ли делать такое крыло (в газетах)? Отпишите в коммы,пожалуйста,нужен совет)
Фота для примера:";21.12.2019 22:32;['VK-1603736028819866', 'VK-83173127041', 'VK-38797155901']
Всем привет??.У меня есть вопрос ,какой стиль лучше для неё сделать реста или стенс . Модели 2года она до сих пор в стоке ,нужно что-то менять.;08.12.2019 15:30;['VK-1603736028819866', 'VK-68211854223', 'VK-49536229743']
"Здарова,народ!)
Хочу представить Вам мою первую модель-ВАЗ-2107)
Делал я ее долго,с усовершенствованиями и доработками.
Знаю,косяки есть,но они активно исправляются)
Зад,кстати,с черным прокрасом как на раннем М-2140,я знаю,что так делают в основном на 2106,но видел я как-то 05 с такой штукой)
Так что не судите строго,я старался)
Если есть конструктивная критика,пишите в комменты,будет интересно почитать)
Если что,на фото с бернаутом в водительском стекле отражение,это не суперклей)";21.11.2019 18:46;['VK-1603736028819866', 'VK-50385308826', 'VK-58935270154']
"Всем привет, ребят?! Наконец-то доделал свою первую БК! Не без косяков конечно, но всё же думаю что для первого раза получилось отлично. К зиме готов так сказать ????. 
Оцените пожалуйста от 1 до  10??????";12.11.2019 21:10;['VK-1603736028819866', 'VK-31847372306', 'VK-32126024333']
Вот таким получился закос таврии под АЕ 86. Добавил утиный хвост, маленькие фендеры и губу переднего бампера, заменил выхлопную трубу. Боковой молдинг выявил мой нервный треммор, поэтому получилос кривовато. Правое зеркало сперли цыгане, да.;03.11.2019 0:06;['VK-1603736028819866', 'VK-15913314151', 'VK-36357962703']
Привет всем! Хочу показать свои Жиги из бумаги в масштабе 1:25. Четверка в обвесе DFTZ и встиле киберпанк, Пятерка тоже в обвесе DFTZ в шуточной ливрее пародии на Тойоту Никиты Шикова, #pushthelimit;13.10.2019 18:11;['VK-1603736028819866', 'VK-63916535562', 'VK-92173485600']
Начало положено) Хочу осуществить старый проект, Ваз 2101 с двигателем от BMW?? Думаю некоторые еще помнят мой старый проект, с темно синей копейкой);04.10.2019 17:33;['VK-1603736028819866', 'VK-40609574360', 'VK-33298727496']
"Решил сегодня сделать пару фотографий и вот что получилось.
ВАЗ-2101 
1:18 
IST Models";14.09.2019 21:25;['VK-1603736028819866', 'VK-14592373981', 'VK-51564394777']
Решил сделать своеобразный сельский пикап из газ 22. Изготовил из дерева покрытие кузова и борта. Также решил покрасить жесткой кистью  под структуру дерева козырек и крышку прицепа. В общем, на оцен.;04.09.2019 22:40;['VK-1603736028819866', 'VK-79629596657', 'VK-63990725301']
"Пора в утиль..
Конверсия китайской копии агатовской жигули в 43 масштабе.Была некомплект,из фольги изготовил слепки деталей,лишнее спилил,приклеил и замял.Покраска не удалась,в итоге нанес следы состаривания от многолетнего простоя:ржавчину,пыль,налет от деревьев и т.д.Особо детализацией не занимался,так как качество модели того не стоит..";01.09.2019 9:48;['VK-1603736028819866', 'VK-84545704175', 'VK-52472763070']
Решил сделать вот такой вагончик по мотивам арта Андрея Ткаченко. Сложнее всего было сделать этот самый карт на крыше, но кое-как удалось. В общем на оценку.;28.08.2019 11:22;['VK-1603736028819866', 'VK-90304269493', 'VK-69876700175']
Привет, я хочу начать заниматься тюнингом  игрушечных авто, но мало чего знаю, если кто захочет мне помочь пишите в лс, буду очень рад ???;16.08.2019 17:33;['VK-1603736028819866', 'VK-84281033119', 'VK-64934171174']
Очередной проект со спорной внешкой). В качестве эксперимента лкп здесь это просто лак поверх голого металла. Расширения и прочее сделано из алюминия.  Декали вертолетные.;15.08.2019 7:33;['VK-1603736028819866', 'VK-75869981579', 'VK-42444699600']
"Ну шо, с обновой?!
Четвертый жифест прошел, разыграли четверку там, и вышла четверка от Ашота ??
Как по мне, качество такое же как у 07, только фары получше тут получились и воздуховоды под бампером тут уже сквозные????
#shongreen #shongarage";12.08.2019 14:53;['VK-1603736028819866', 'VK-24518841438', 'VK-13945128895']
Stage 4 надеюсь последний. Кузову около 10 лет, одна из старых моделей. В общем,теперь это волга - босудзоку);09.08.2019 16:20;['VK-1603736028819866', 'VK-36585482909', 'VK-21780001620']
"Дорогие друзья! 

В этом году мы снова посетим такое мероприятие как Жи Фест 2019 и привезём собой не только модели но и интересные Автомобили ) 

Так что ждите, так-же кто занимается моделями вы можете выставить свои модели тоже.??

#ЖиФест2019";08.07.2019 14:47;['VK-1603736028819866', 'VK-53360158964', 'VK-82168066894']
"ГАЗ-21И ""Волга"" (часть 2) были некоторые доработки, но есть один вопрос: лучше багажник на крыше сделать, как стандартный заводской багажник, или сделать топорно сваренный из старого забора (как на фото, я такие видел вживую), и относительно всего остального тоже жду советы и рекомендации, а так Волга старого дида помалу потиху начинает приобретать очертания. Жёсткая критика очень приветствуется!";08.07.2019 5:20;['VK-1603736028819866', 'VK-91315449381', 'VK-38547956722']
"Да, знаю что таких в реале не было, но она была в мультсериале ""Арчер"" так что мне этого вполне достаточно";07.07.2019 9:25;['VK-1603736028819866', 'VK-74927956541', 'VK-82676317463']
"ГАЗ-21И ""Волга"". Процесс занял примерно полтора часа, но будут доработки, а в будущем--диорама. Критика очень приветствуется. За фон извините :)";06.07.2019 5:24;['VK-1603736028819866', 'VK-71589910366', 'VK-13367585553']
"Огромное спасибо [id360161345|Толямба Комаров] за эту маленькую пушечку???
Я её очень ждала и безумно была рада, когда она оказалась у меня??
Я даже не ожидала, что она будет так похожа??
Вообщем, ты мне подарил прекрасное настроение на весь день и это маленькое чудо?
Безумно благодарна, море эмоций??
Спасибоооооо??";05.07.2019 9:12;['VK-1603736028819866', 'VK-38020985341', 'VK-11945664120']
Решил вместо очередной жести сделать красивый проект в таком псевдо-американском стиле. Был сделан шейвинг, выпилены центральные стойки + две двери вместо четырех. Покраска кастом ( распылял белый поверх бирюзового);04.07.2019 9:32;['VK-1603736028819866', 'VK-80532082668', 'VK-43732764464']
Подскажите, за какаю адекватную цену на авито можно взять копейку в 24 масштабе?;24.06.2019 5:16;['VK-1603736028819866', 'VK-56299288211', 'VK-76991083849']
Модель больше экспериментальная, из разряда: а что если сделать из волги гоночный автомобиль? В общем как обычно не без косяков, но была построена такая вот пушка-баржа;22.06.2019 16:00;['VK-1603736028819866', 'VK-11322249585', 'VK-99937242237']
"Ребята!
28 июня 2019. Будет сходка масштабных моделей в Екатеринбурге,всё кто с Екатеринбурга приходите. 28.06.19
 Инфа: 28 июня в Екатеринбурге,онли площадь 1905 года(пассаж сборы) в 11:00 состоится сходка масштабных моделей.
 Приглашаем всех,приходите со своими пушечными моделями,пообщаемся,пофоткаем и многое другое. Буду снимать видос на канал: #ЯНiщий_модлс
 Будут грамоты за такие дисциплины как:
1.Самая стильная модель
2.Самая боевая модель
3.Самая низкая модель
4.Самая крутая сборка
Приходите,будем рады всем????";20.06.2019 10:13;['VK-1603736028819866', 'VK-13232112609', 'VK-14205589511']
"? Снова твоя вода в венах моих течёт, 
 Ты говорила «да» и больше не надо слов....";07.06.2019 9:27;['VK-1603736028819866', 'VK-39320722051', 'VK-47678612880']
"Берегите любовь, если вам повезёт
Повстречать её в жизни однажды.
Берегите любовь, коль она вас найдёт, 
Где, когда - да ведь это не важно.
Берегите любовь, находя сто причин,
Чтоб сильнее тянуться друг к другу.
Берегите любовь, что есть мочи и сил,
Вместе с сердцем, отдайте ей руку.
Берегите любовь, даже если порой
Ложью кажется чистая правда.
Берегите любовь - этот свет неземной,
Эта дверь не откроется дважды.
Берегите любовь и за тысячи миль
Сердцем чувствуйте сердце любимой.
Берегите любовь, это - ваш материк,
Вашей жизни, надежд вашей милой.
Берегите любовь, несмотря ни на что,
В жизнь свою не впускайте разлуку.
Берегите любовь, остальное потом...
Протяните ей верную руку...";07.06.2019 9:27;['VK-1603736028819866', 'VK-54081040654', 'VK-60650554109']
"GAME OVER 

Я не игрок по сути, я опускаю руки, 
Весь арсенал оружий, выбор теперь за тобой. 
Хочешь, стреляй мне в спину, так поступают люди. 
Хочешь, останови пули, те, что уже за спиной. 

Я не играю больше, маски разбиты, стёрты. 
Хочешь, возьми осколки, вены мои изрань. 
Только не бойся крови, все мы по факту мёртвы, 
Если меня режешь, то раненым принимай. 

Карты мои открыты, и на экране «game over», 
Я не играю больше, со временем ты поймёшь. 
Это не я такой, герой твоих игр ожил. 
Ты позвони мне после, когда свои игры пройдёшь. 

Автор: Танцующая-В Ночи 
Автор изображений: Irene Tena";10.04.2019 19:31;['VK-1603736028819866', 'VK-61474588623', 'VK-90406634027']
"? Новый раздел - Разборка Mercedes - автозапчасти б/у ? 
 
???? https://vk.com/topic-111749251_39546171";14.06.2019 1:41;['VK-1603736028819866', 'VK-49725783613', 'VK-92549753485']
Всем привет , народ у кого есть мерседес вито 638 с 601 двигателем без турбины помогите разобраться с вакумными трубками все перепутал а схем в интернете адекватных не найти , спасибо;29.12.2019 20:14;['VK-1603736028819866', 'VK-90590676942', 'VK-48484198673']
всем привет кто-то переделывал старый спринтер 1996 года  на 906й ? двери салон и буду хочу оставить . приколхозить только морду.  жду ответа;27.12.2019 15:06;['VK-1603736028819866', 'VK-88098320357', 'VK-13827004574']
"Всем привет!?????
Помогите советом??????
Проблема в следующем при включённом зажигании печка работает на 3,4 положении 
на заведенную не работает вообще, снимаю фишку перемыкаю контакты всё работает во всех положениях 
Что может быть ?????
(2001 год с кондеем)";25.12.2019 16:48;['VK-1603736028819866', 'VK-64213990563', 'VK-89103813486']
Добрый день.подскажите Мерседес спринтер классик 2,1 2015г дымит синим дымом  на холостых оборотах.пробег 250т,турба новая , форсунки по диагностике параметры норм.жора масла особо нет,на 10тысяч около полтора литра.при движении дым пропадает.;15.12.2019 16:11;['VK-1603736028819866', 'VK-20347406248', 'VK-66085770158']
Заказать ремонт вариатора, а также обслуживание АКПП, посмотреть стоимость можно на сайте Ремонт коробки тут http://remontkorobki.ru/vosstanovlenie/?utm_source=social&utm_medium=vk&utm_campaign=3516562;07.11.2019 18:12;['VK-1603736028819866', 'VK-48212681383', 'VK-41121268778']
"??Автомобиль: Mercedes-Benz Srinter 511CDI 
?? Город осмотра: Выборг
??Год: 2008
??Пробег: 250 тыс. км
??Цена: 1099 тыс. рублей
?? Качественный актив для вложений, а так же подходящая машина для большой семьи
?? Город осмотра: Выборг
??Год: 2008
??Пробег: 250 тыс. км
?? Подробное описание: автобус в отличном состоянии. Родной пробег 250 тыс.км с копейками, готов на любые проверки. За авто следили и воремя обслуживали, хорошее состоянии как внешне так и технически. На данный момент никаких вложений не требуется. ПТС оригинал, авто стоит на учете в ГИБДД, 5 лет в собственности.
В машине установлены: DVD, караоке, светомузыка, микрофон, глонас навигация, тахограф, спарка 5 тонн. 
Ездил по Европе, в основном Финляндия.
Комплект шин зима лето. 
С продажей не спешу, но с реальным покупателем готов к торгу.
Возможен обмен на некоммерческий транспорт.
?? Фотографии машины:";11.09.2019 2:03;['VK-1603736028819866', 'VK-51024957603', 'VK-86569285459']
"Продам Mercedes-Benz Srinter 511CDI 
2008 год, 250 тыс. пробег. 
В машине установлены: DVD, караоке, светомузыка, микрофон, глонас навигация, тахограф, спарка 5 тонн. 
Отличное рабочее состояние, на маршруте не был. 
Сейчас находится в городе Выборг. 
Цена 1138 тыс. рублей. 
Телефон для связи: +79215520980
P.S. С чьего уйдёт, от себя скину 50 тыс. рублей.";09.08.2019 17:25;['VK-1603736028819866', 'VK-51251418114', 'VK-73262536964']
"Здравствуйте .Спринтер м611 м 646 . . 2.2 дизель . 2007. Мерседес 
.нужен коленвал .";20.07.2019 17:07;['VK-1603736028819866', 'VK-94976810934', 'VK-68290506141']
Ребята поменял натяжитель цепи, прокручиваю грм на 180 градусов цепь натянута, ещё 180 градусов она слабая, в чем причина может кто подскажет. Вито 1998год, 2.3 дизель  601 мотор атмосферник;18.07.2019 16:27;['VK-1603736028819866', 'VK-70603563684', 'VK-13622218232']
"Жидков Максим Викторович - андролог, который предлагает записаться на консультацию. Смотрите статьи на сайте ""Записки андролога"": http://androlog.ru.com/?utm_source=social&utm_medium=vk&utm_campaign=3374510";11.06.2019 20:15;['VK-1603736028819866', 'VK-24778503228', 'VK-31893237175']
Всем привет...нуждаюсь в Вашей помощи..Машина вито 1998год 2.3 мотор.сломалось акпп,купили контракт поставили Машина иногда начинала ехать иногда вовсе не хотела ехать..так уже 2 акпп меняли..сейчас тоже не едет ставишь заднюю передачу нечего не происходит..даже лампочки заднего хода не горят...что делать ?? Как быть ?? Может адаптацию нада делать  или что ? Помогите пожалуйста...админ пропусти пожалуйста...уже не знаю что делать;05.06.2019 16:22;['VK-1603736028819866', 'VK-78827278265', 'VK-12124000733']
Заметил что зимой таких проблем не бывает,летом начинается.... при нагрузке на ходу глохнет выкл вкл зажигание заводиться но дольше обычного грешил на разьёмы у форсунок потом стянул их пластиковыми хомутами ни чего не изменилось... когда глохнет долго крутишь и заводиться уходит топливо,поменял все трубки топливоподкачивающий насос клапан обратки менял тнвд с рабочей машины ни каких результатов сегодня воздухом опрессовку делал ни где соляра небежит в чем ещё может быть проблема. Подскажите пожалуйста 611 двигатель;03.06.2019 16:47;['VK-1603736028819866', 'VK-65536694584', 'VK-19708499941']
Ребят подскажите пожалуйста, машина переодически глохнет, и плохо заводится, завёлся поехал, через некоторое время снова глохнет, заметил что такое происходит когда очень жарко, в том году летом такое же было, зима была, не разу не глох, сейчас снова такая же история!;01.06.2019 18:06;['VK-1603736028819866', 'VK-26138502898', 'VK-78060629875']
"Mercedes-Benz 300 SL w198 
 
Мотор: 240л.с. 3л. 
Масса: 1310кг. 
Разгон 0-100 км.ч.: 7,2с. 
Макс. скор.: 260км.ч. 
Цена: 600 000 $";28.05.2019 5:12;['VK-1603736028819866', 'VK-78466438197', 'VK-62373051044']
Мужики подскажите по Мерседесу Вито,хочу взять себе годов 1997-2004,бюджет 350-400 тыс,нужен 7+1,реально за такие деньги найти?Какой двигатель и коробка самые надёжные,какие слабые места у автомобиля на что следует обратить внимание при покупке,дорогие ли запчасти и.т.д.?;10.05.2019 19:08;['VK-1603736028819866', 'VK-41657522165', 'VK-19836959136']
"515 sdi 2.2  150л.с
Подскажите, надежный мотор? На что стоит оброщать внимание про покупке";04.05.2019 17:07;['VK-1603736028819866', 'VK-41857800715', 'VK-60479042659']
"? [club53090858|Mercedes-Benz] 
? [club32210234|Ferrari] 
? [club92964646|Rolls-Royce]";24.04.2019 7:12;['VK-1603736028819866', 'VK-93153526080', 'VK-80619080725']
Победа не дает силу – силу дает борьба. Если ты борешься и не сдаешься – это и есть сила.;18.04.2019 19:12;['VK-1603736028819866', 'VK-45676192956', 'VK-31986133318']
"Защита переднего бампера - кенгурятник, труба двойная, труба одинарная, труба с изгибом.
Защита порогов - трубы с проступьями для ног, площадки.
Защита заднего бампера - уголки, труба прямая.
Рейлинги на крышу.
Шторки салонные. 
По вопросам в л.с";16.04.2019 18:36;['VK-1603736028819866', 'VK-95995018483', 'VK-89635598958']
Продаю вито 2010 в отличном состоянии, полностью обслужен , не требует вложений. Любые проверки. Фото скину в личку;16.04.2019 18:35;['VK-1603736028819866', 'VK-63434121724', 'VK-98096322060']
Подходящее время может вообще никогда не наступить. Если вы действительно хотите сделать что-то, забудьте о времени и просто cделайте это.;16.04.2019 7:12;['VK-1603736028819866', 'VK-62231748465', 'VK-58623526209']
Всем привет. Ребятки подскажите пожалуйста. Хочу купить себе Вито, как цены на запчасти, сильно кусаются?;14.04.2019 18:55;['VK-1603736028819866', 'VK-91531678069', 'VK-69482034969']
Приветствую, Вито 638, 611, 2,2, ТНВД, во всех ли ТНВД есть этот клапан? В одном есть и нажимается, в другом нет ни пружинки,  и не нажимается но он стоял на машине и работал, только потек, может так и должно быть?;07.04.2019 19:00;['VK-1603736028819866', 'VK-95885100478', 'VK-72206243578']
Нет недостижимых целей, есть высокий коэффициент лени, недостаток смекалки и запас отговорок.;03.04.2019 19:14;['VK-1603736028819866', 'VK-60419770568', 'VK-11670201385']
Следующий раз, когда услышите, что о вас сплетничают, можете собой гордится, вы достигли в жизни больше, чем они.;02.04.2019 7:12;['VK-1603736028819866', 'VK-63716297716', 'VK-96263587612']
"Mercedes-Benz G63 AMG 6x6 Mansory 
 
Мотор: 840 л.с. 5.5 V8 
Снаряженная масса: 3675кг. 
Разгон 0-100 км.ч.: 7с. 
Максимальная скорость: 190км.ч.";31.03.2019 7:15;['VK-1603736028819866', 'VK-88847229101', 'VK-56126693275']
Сделай так, чтобы получить то, что ты хочешь, иначе тебе придётся любить то, что ты имеешь.;28.03.2019 7:12;['VK-1603736028819866', 'VK-11668415250', 'VK-32328763741']
Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.;27.03.2019 7:12;['VK-1603736028819866', 'VK-94673807194', 'VK-43736583970']
Здарова народ,  хочу преобрести вито 2.8 бензин,  2000 года,  посоветуйте подалуста,  что лучше  2.3 или 2.8 и какие +/- в этих машинах,  сам на данный момен езжу на мазда мпв 2001 года;26.03.2019 20:08;['VK-1603736028819866', 'VK-41693206282', 'VK-86817946628']
"Владимир Высоцкий очень любил автомобили и быструю езду. Поэтому очень часто он попадал в аварии с печальными для машин последствиями. Водить знаменитый артист начал, когда ему практически исполнилось 30 лет. Но сразу же полюбил это занятие.

#музыка@motor";24.03.2019 19:12;['VK-1603736028819866', 'VK-30808204718', 'VK-55068195891']
Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.;24.03.2019 7:12;['VK-1603736028819866', 'VK-17894242509', 'VK-16610779282']
